context,question,answer,answer_start,answer_end
the school of architecture was established in eighteen ninety nine although degrees in architecture were first awarded by the university in eighteen ninety eight. today the school house then bond hall offers a fiveyear undergraduate programs leading to the bachelor of architecture degree. all undergraduate students died in the third year of the program in rome. the university is globally recognized for its notre dame school of architecture of faculty that teaches fremont ernest traditional in classical architecture in urban planning the g. following the principles of new urban isnt the neoclassical architecture. it also war its the renowned annual tree house architecture prize.,In what building is the current School of Architecture housed at Notre Dame?,bond hall,191,200
the school of architecture was established in eighteen ninety nine although degrees in architecture were first awarded by the university in eighteen ninety eight. today the school house then bond hall offers a fiveyear undergraduate programs leading to the bachelor of architecture degree. all undergraduate students died in the third year of the program in rome. the university is globally recognized for its notre dame school of architecture of faculty that teaches fremont ernest traditional in classical architecture in urban planning the g. following the principles of new urban isnt the neoclassical architecture. it also war its the renowned annual tree house architecture prize.,What length is the course of study at the Notre Dame School of Architecture?,fiveyear,210,218
the school of architecture was established in eighteen ninety nine although degrees in architecture were first awarded by the university in eighteen ninety eight. today the school house then bond hall offers a fiveyear undergraduate programs leading to the bachelor of architecture degree. all undergraduate students died in the third year of the program in rome. the university is globally recognized for its notre dame school of architecture of faculty that teaches fremont ernest traditional in classical architecture in urban planning the g. following the principles of new urban isnt the neoclassical architecture. it also war its the renowned annual tree house architecture prize.,In which location do students of the School of Architecture of Notre Dame spend their 3rd year?,rome,358,362
the library system also includes branch libraries for architecture chemistry and physics engineering law and mathematics as well as information centers in the mendoza college of business the kellogg institute for international studies that junkie. crack institute for international peace studies and the slide library in oshaughnessy hall. a theology library was also opened and fall of twenty fifteen. located on the first floor of stanford hall is the first branch of the library system to be housed in a dorm room. the library system holds over three million volumes was the single largest university library in the world upon its completion and remains one of the one hundred largest libraries in the country.,Where is the theology library at Notre Dame?,the first floor of stanford hall,414,446
the library system also includes branch libraries for architecture chemistry and physics engineering law and mathematics as well as information centers in the mendoza college of business the kellogg institute for international studies that junkie. crack institute for international peace studies and the slide library in oshaughnessy hall. a theology library was also opened and fall of twenty fifteen. located on the first floor of stanford hall is the first branch of the library system to be housed in a dorm room. the library system holds over three million volumes was the single largest university library in the world upon its completion and remains one of the one hundred largest libraries in the country.,How many books are held by the Notre Dame libraries?,over three million volumes,543,569
the rise of hitler and other dictators in the nineteen thirties force numerous catholic intellectual stiffly year a president john ohair upright many to notre dame. from germany came and john herman crouse nineteen oh seven to nineteen eighty two in classics in law and while the markarian a german catholic intellectual a jewish descent. positive is some dominated american intellectual life in the nineteen twenties onwards but in marked contrast carrying received a german catholic education and rode his doctoral dissertation on dear max she eleanor. i then mestrovic eighteen eighty three to nineteen sixty two are renowned sculptor brought croatian culture to campus nineteen fifty five to sixty two. he had simon nineteen oh three to sixty won brought to randy in the nineteen forties the insights of french studies in the arrest its healing and tom mystic traditions of philosophy his own teachers shock mare attain eighteen eighty two to seventy three was a frequent visitor to campus.,What caused many intellectual Catholics to leave europe in the 1930s?,the rise of hitler and other dictators,0,38
the rise of hitler and other dictators in the nineteen thirties force numerous catholic intellectual stiffly year a president john ohair upright many to notre dame. from germany came and john herman crouse nineteen oh seven to nineteen eighty two in classics in law and while the markarian a german catholic intellectual a jewish descent. positive is some dominated american intellectual life in the nineteen twenties onwards but in marked contrast carrying received a german catholic education and rode his doctoral dissertation on dear max she eleanor. i then mestrovic eighteen eighty three to nineteen sixty two are renowned sculptor brought croatian culture to campus nineteen fifty five to sixty two. he had simon nineteen oh three to sixty won brought to randy in the nineteen forties the insights of french studies in the arrest its healing and tom mystic traditions of philosophy his own teachers shock mare attain eighteen eighty two to seventy three was a frequent visitor to campus.,From where did Anton-Hermann Chroust come to reach Notre Dame?,germany,170,177
the university of notre dame des lak or simply notre dame military day and military da why am is a catholic research university located adjacent to south bend indiana in the united states. in french notre dame des lak means our lady of the lake and refers to the universitys patron saint the virgin mary. the main campus covers one two hundred fifty acres in the suburban setting and it contains a number of recognizable landmarks such as the golden dome the word of life neural commonly known as touchdown jesus and the basilica.,What type of institution is the Notre Dame?,catholic research university,99,127
the university of notre dame des lak or simply notre dame military day and military da why am is a catholic research university located adjacent to south bend indiana in the united states. in french notre dame des lak means our lady of the lake and refers to the universitys patron saint the virgin mary. the main campus covers one two hundred fifty acres in the suburban setting and it contains a number of recognizable landmarks such as the golden dome the word of life neural commonly known as touchdown jesus and the basilica.,The French words Notre Dame du Lac translate to what in English?,our lady of the lake,224,244
the university of notre dame des lak or simply notre dame military day and military da why am is a catholic research university located adjacent to south bend indiana in the united states. in french notre dame des lak means our lady of the lake and refers to the universitys patron saint the virgin mary. the main campus covers one two hundred fifty acres in the suburban setting and it contains a number of recognizable landmarks such as the golden dome the word of life neural commonly known as touchdown jesus and the basilica.,Who is the patron saint of Notre Dame?,the virgin mary,288,303
notre dame rose to national prominence in the early nineteen hundreds for its fighting irish football team especially under the guidance of the legendary coach candid rockne. the universitys athletic teams are members of the n c double a division einar known collectively as the fighting irish. the football team an independent has accumulated eleven consensus national championships seven heisman trophy winners sixty two members in the college football hall of fame in thirteen members in the pro football hall of fame and is considered one of the most famous and successful college football teams in history. other indeed teams chiefly in the atlantic coast conference have accumulated sixteen national championships. the notre dame victory march is often regarded as the most famous unrecognizable collegiate fight song.,What caused Notre Dame to become notable in the early 20th century?,its fighting irish football team,74,106
notre dame rose to national prominence in the early nineteen hundreds for its fighting irish football team especially under the guidance of the legendary coach candid rockne. the universitys athletic teams are members of the n c double a division einar known collectively as the fighting irish. the football team an independent has accumulated eleven consensus national championships seven heisman trophy winners sixty two members in the college football hall of fame in thirteen members in the pro football hall of fame and is considered one of the most famous and successful college football teams in history. other indeed teams chiefly in the atlantic coast conference have accumulated sixteen national championships. the notre dame victory march is often regarded as the most famous unrecognizable collegiate fight song.,How many students at Notre Dame received the Heisman Trophy?,seven,384,389
besides its prominence in sports notre dame is also a large four year highly residential research university and is consistently ranked among the top twenty universities in the united states and as a major global university. the undergraduate component of the university is organized into four colleges arts and letters science and engineering business and the architecture school. the latter is known for teaching neoclassical architecture in for awarding the globally renowned annual dream house architecture prize. notre dames graduate program has more than fifty masters doctor all unprofessional degree programs offered by the five schools with the addition of the notre dame law school and they and the phd programme offered in combination with you medical school. it maintains the system of libraries cultural then use artistic unscientific museums including has burnt library in this night museum of art. over eighty percent of the university say oh well well undergraduates live on campus and one of twenty nine single sex residence halls each with its own traditions legacies of vents and intramural sports teams. the university counts approximately one hundred twenty o l l alumni considered among the strongest alumni networks among u s. colleges.,Where among US universities does Notre Dame rank?,among the top twenty,136,156
besides its prominence in sports notre dame is also a large four year highly residential research university and is consistently ranked among the top twenty universities in the united states and as a major global university. the undergraduate component of the university is organized into four colleges arts and letters science and engineering business and the architecture school. the latter is known for teaching neoclassical architecture in for awarding the globally renowned annual dream house architecture prize. notre dames graduate program has more than fifty masters doctor all unprofessional degree programs offered by the five schools with the addition of the notre dame law school and they and the phd programme offered in combination with you medical school. it maintains the system of libraries cultural then use artistic unscientific museums including has burnt library in this night museum of art. over eighty percent of the university say oh well well undergraduates live on campus and one of twenty nine single sex residence halls each with its own traditions legacies of vents and intramural sports teams. the university counts approximately one hundred twenty o l l alumni considered among the strongest alumni networks among u s. colleges.,How many individual colleges are part of Notre Dame?,four,60,64
in eighteen forty two the bishop of vincenzo soliciting dina married to allow high wind shear offered land to father edward soaring of the congregation of the holy cross on the condition that he built a college in two years. and to honor. sarin arrived on the side with the holy cross brothers from france and ireland on november twenty sixth eighteen forty two and began the school using fathers even begun sold land chapel. he soon erected additional buildings including old college the first church and the first main building. they immediately acquired two students and set about building additions to the campus.,Which church was Father Edward Sorin representing?,the congregation of the holy cross,135,169
the first phase of any street commons at two hundred fifty million dollars development located adjacent to the university of notre dame campus and funded by the university broke ground on june third ten thousand eight. the any street comments to union protests when workers hired by the city of south bend to construct the public parking garage take it in the private work site after a contractor hired non union workers. the developer tight realty at indianapolis has made agreements with major national chains rather than local businesses and move that has led to criticism from alumni and students.,Which entity did Notre Dame hire to build a parking structure outside of Eddy Street Commons?,the city of south bend,283,305
notre dame teams are known as the fighting irish. they compete as a member of the national collegiate athletic association and see double a division not primarily competing in the atlantic coast conference ac c for all sports since the twenty thirteen fourteen school year. the fighting irish previously competed in the horizon league from nineteen eighty to eighty three to nineteen eighty five eighty six and again from nineteen eighty seven eighty eight to nineteen ninety four ninety five and then in the big east conference three twenty twelve thirteen. mens sports include a baseball basketball through cross country fencing football golf ice hockey lacrosse soccer swimming and diving tennis in track and field well womens sports include basketball cross country fencing golf lacrosse growing soccer softball swimming and diving tennis track and field in volleyball. the football team competes as in football bowl subdivision f me ask independent since its inception in eighteen eighty seven. both fencing teams compete in the midwest fencing conference and the mens ice hockey team competes in hockey east.,What does the acronym NCAA stand for?,national collegiate athletic association,82,122
notre dame teams are known as the fighting irish. they compete as a member of the national collegiate athletic association and see double a division not primarily competing in the atlantic coast conference ac c for all sports since the twenty thirteen fourteen school year. the fighting irish previously competed in the horizon league from nineteen eighty to eighty three to nineteen eighty five eighty six and again from nineteen eighty seven eighty eight to nineteen ninety four ninety five and then in the big east conference three twenty twelve thirteen. mens sports include a baseball basketball through cross country fencing football golf ice hockey lacrosse soccer swimming and diving tennis in track and field well womens sports include basketball cross country fencing golf lacrosse growing soccer softball swimming and diving tennis track and field in volleyball. the football team competes as in football bowl subdivision f me ask independent since its inception in eighteen eighty seven. both fencing teams compete in the midwest fencing conference and the mens ice hockey team competes in hockey east.,Which league did Notre Dame Fighting Irish teams participate in in 1982?,horizon league,320,334
notre dame teams are known as the fighting irish. they compete as a member of the national collegiate athletic association and see double a division not primarily competing in the atlantic coast conference ac c for all sports since the twenty thirteen fourteen school year. the fighting irish previously competed in the horizon league from nineteen eighty to eighty three to nineteen eighty five eighty six and again from nineteen eighty seven eighty eight to nineteen ninety four ninety five and then in the big east conference three twenty twelve thirteen. mens sports include a baseball basketball through cross country fencing football golf ice hockey lacrosse soccer swimming and diving tennis in track and field well womens sports include basketball cross country fencing golf lacrosse growing soccer softball swimming and diving tennis track and field in volleyball. the football team competes as in football bowl subdivision f me ask independent since its inception in eighteen eighty seven. both fencing teams compete in the midwest fencing conference and the mens ice hockey team competes in hockey east.,What when conference do the Notre Dame fencing teams take part in?,midwest fencing conference,1034,1060
notre dame teams are known as the fighting irish. they compete as a member of the national collegiate athletic association and see double a division not primarily competing in the atlantic coast conference ac c for all sports since the twenty thirteen fourteen school year. the fighting irish previously competed in the horizon league from nineteen eighty to eighty three to nineteen eighty five eighty six and again from nineteen eighty seven eighty eight to nineteen ninety four ninety five and then in the big east conference three twenty twelve thirteen. mens sports include a baseball basketball through cross country fencing football golf ice hockey lacrosse soccer swimming and diving tennis in track and field well womens sports include basketball cross country fencing golf lacrosse growing soccer softball swimming and diving tennis track and field in volleyball. the football team competes as in football bowl subdivision f me ask independent since its inception in eighteen eighty seven. both fencing teams compete in the midwest fencing conference and the mens ice hockey team competes in hockey east.,"There is a conference that the male hockey team of Notre Dame competes in, what is it?",hockey east,1102,1113
notre dame teams are known as the fighting irish. they compete as a member of the national collegiate athletic association and see double a division not primarily competing in the atlantic coast conference ac c for all sports since the twenty thirteen fourteen school year. the fighting irish previously competed in the horizon league from nineteen eighty to eighty three to nineteen eighty five eighty six and again from nineteen eighty seven eighty eight to nineteen ninety four ninety five and then in the big east conference three twenty twelve thirteen. mens sports include a baseball basketball through cross country fencing football golf ice hockey lacrosse soccer swimming and diving tennis in track and field well womens sports include basketball cross country fencing golf lacrosse growing soccer softball swimming and diving tennis track and field in volleyball. the football team competes as in football bowl subdivision f me ask independent since its inception in eighteen eighty seven. both fencing teams compete in the midwest fencing conference and the mens ice hockey team competes in hockey east.,In what conference did the Fighting Irish take part in in 2012?,big east conference,509,528
notre dames conference affiliations for all of its sports except football in fencing changed in july twenty third team as a result of major conference realignment and its fencing affiliation will change in july twenty fourteen. the irish left the big east for the assisi during a prolonged period of instability in the big east while they maintain their football independence they have committed to play five games per season against casey c opponents. in ice hockey the irish were forced to find a new conference home after the big ten conference is decision to add the sporting twenty thirteen fourteen led to a cascade of conference moves that culminated in the dissolution of the schools former hockey home the central collegiate hockey association after the twenty twelve thirteen season. notre dame moved its hockey team to hiking east. after notre dame joined the a c c the conference announced it would add fencing as a sponsored sport beginning in the twenty fourteen fifteen school year. there are many theories behind the adoption of the athletics moniker but it is known that the fighting irish name was used in the early nineteen twenties with respect to the football team and was popularized by alone is francis wallace in his new york daily news columns. the official collars of notre dame our navy blue and gold rush which are warning competition by its athletic teams. in addition the color green is often worn because of the fighting irish nickname. the notre dame leopard kang is the mascot of the athletic teams. created by theodore w. drink in nineteen sixty four the leopard khan was first used on the football pocket schedule and later on the football program covers. the leper icon was featured on the cover of time in november nineteen sixty four in gained national exposure.,How many teams in each season do the Fighting Irish commit to play against ACC opponents?,five,404,408
notre dames conference affiliations for all of its sports except football in fencing changed in july twenty third team as a result of major conference realignment and its fencing affiliation will change in july twenty fourteen. the irish left the big east for the assisi during a prolonged period of instability in the big east while they maintain their football independence they have committed to play five games per season against casey c opponents. in ice hockey the irish were forced to find a new conference home after the big ten conference is decision to add the sporting twenty thirteen fourteen led to a cascade of conference moves that culminated in the dissolution of the schools former hockey home the central collegiate hockey association after the twenty twelve thirteen season. notre dame moved its hockey team to hiking east. after notre dame joined the a c c the conference announced it would add fencing as a sponsored sport beginning in the twenty fourteen fifteen school year. there are many theories behind the adoption of the athletics moniker but it is known that the fighting irish name was used in the early nineteen twenties with respect to the football team and was popularized by alone is francis wallace in his new york daily news columns. the official collars of notre dame our navy blue and gold rush which are warning competition by its athletic teams. in addition the color green is often worn because of the fighting irish nickname. the notre dame leopard kang is the mascot of the athletic teams. created by theodore w. drink in nineteen sixty four the leopard khan was first used on the football pocket schedule and later on the football program covers. the leper icon was featured on the cover of time in november nineteen sixty four in gained national exposure.,"Where did the Fighting Irish hockey team compete prior to a move to Hockey East, in terms of conference?",central collegiate hockey association,715,752
notre dames conference affiliations for all of its sports except football in fencing changed in july twenty third team as a result of major conference realignment and its fencing affiliation will change in july twenty fourteen. the irish left the big east for the assisi during a prolonged period of instability in the big east while they maintain their football independence they have committed to play five games per season against casey c opponents. in ice hockey the irish were forced to find a new conference home after the big ten conference is decision to add the sporting twenty thirteen fourteen led to a cascade of conference moves that culminated in the dissolution of the schools former hockey home the central collegiate hockey association after the twenty twelve thirteen season. notre dame moved its hockey team to hiking east. after notre dame joined the a c c the conference announced it would add fencing as a sponsored sport beginning in the twenty fourteen fifteen school year. there are many theories behind the adoption of the athletics moniker but it is known that the fighting irish name was used in the early nineteen twenties with respect to the football team and was popularized by alone is francis wallace in his new york daily news columns. the official collars of notre dame our navy blue and gold rush which are warning competition by its athletic teams. in addition the color green is often worn because of the fighting irish nickname. the notre dame leopard kang is the mascot of the athletic teams. created by theodore w. drink in nineteen sixty four the leopard khan was first used on the football pocket schedule and later on the football program covers. the leper icon was featured on the cover of time in november nineteen sixty four in gained national exposure.,What colors are the official ones used by Notre Dame in sport competition?,navy blue and gold rush,1309,1332
on july first twenty fourteen the university of notre dame and under armour reached an agreement in which under armor will provide uniforms apparel equipment and monetary compensation to notre dame for ten years. this contract worth almost one hundred million dollars is the most lucrative in the history of the n c double a. the university marching band plays at home games for most of the sports. the band which began in eighteen forty six and has a claim is the oldest university banding continuous existence in the united states was honored by the national music counsel as a landmark of american music during the united states bicentennial. the band regularly place the schools fight song the notre dame victory march which was named as the most played in most famous fight song by northern illinois professor williams died well. according to college fight songs and annotated anthology published in nineteen ninety eight the notre dame victory march ranks as the greatest fight song of all time.,Who currently provides uniforms to Notre Dame sport teams?,under armour,63,75
on july first twenty fourteen the university of notre dame and under armour reached an agreement in which under armor will provide uniforms apparel equipment and monetary compensation to notre dame for ten years. this contract worth almost one hundred million dollars is the most lucrative in the history of the n c double a. the university marching band plays at home games for most of the sports. the band which began in eighteen forty six and has a claim is the oldest university banding continuous existence in the united states was honored by the national music counsel as a landmark of american music during the united states bicentennial. the band regularly place the schools fight song the notre dame victory march which was named as the most played in most famous fight song by northern illinois professor williams died well. according to college fight songs and annotated anthology published in nineteen ninety eight the notre dame victory march ranks as the greatest fight song of all time.,What is the Notre Dame fight song?,notre dame victory march,698,722
the notre dame football team has a long history first beginning when the michigan wolverine football team brought football to notre dame in eighteen eighty seven and played against a group of students. in the long history since then thirteen fighting irish teams have won consensus national championships although the university only claims eleven along with another nineteenth being a national champion by at least one source. additionally the program has the most members in the college football hall of fame is tied with ohio state university with the most heisman trophies whine and have the highest winning percentage in and see double a history. with the long history notre dame has accumulated many rivals and its annual game against u s c for the jolt shalala has been named by some as one of the most important in college football and is often called the greatest intersection all rivalry in college football in the country.,What university is Notre Dame tied with in terms of most Heisman Trophy winners?,ohio state university,524,545
the notre dame football team has a long history first beginning when the michigan wolverine football team brought football to notre dame in eighteen eighty seven and played against a group of students. in the long history since then thirteen fighting irish teams have won consensus national championships although the university only claims eleven along with another nineteenth being a national champion by at least one source. additionally the program has the most members in the college football hall of fame is tied with ohio state university with the most heisman trophies whine and have the highest winning percentage in and see double a history. with the long history notre dame has accumulated many rivals and its annual game against u s c for the jolt shalala has been named by some as one of the most important in college football and is often called the greatest intersection all rivalry in college football in the country.,In terms of Notre Dame students in the College Football Hall of Fame the amount of students named is what ?,the most,457,465
george gap with the schools legendary football player during nineteen sixteen to twenty. he played semi professional baseball in smoke drink and gambled when not playing sports. he was also humble generous to the needy and a man of integrity. it was in nineteen twenty eight that fame coach can you brought me used his final conversation with the dying get to inspire the notre dame team to beat the army team and win one for the gipper the nineteen forty film can you drop me all american start pat obrien is can you drop me and ronald reagan as get. today in the team competes in notre dame stadium and eighty thousand seven hundred ninety five seat stadium on campus. the current head coaches brian kelly hired from the university of cincinnati on december eleventh two thousand nine. kellys record in midway through his sixth season at notre dame is fifty two to twenty one. in twenty twelve kellys fighting irish squad when undefeated and played in the p c s national championship game. kelli succeeded charlie weiss who was fired in november two thousand nine after five seasons. although weiss led his team to to bowl championship series ball games his overall record was there any five to twenty seven mediocre by notre dames standards and the two thousand seventeen had the most losses in school history. the football team generate enough revenue to operate independently while twenty two dollars one million is retained from the teams profits for academic use. for its named the team is the most valuable in college football worth a total of one hundred one million dollars in two thousand seven.,"Against which opponent did Knute Rockne tell his team to ""win one for the Gipper?""",the army team,396,409
george gap with the schools legendary football player during nineteen sixteen to twenty. he played semi professional baseball in smoke drink and gambled when not playing sports. he was also humble generous to the needy and a man of integrity. it was in nineteen twenty eight that fame coach can you brought me used his final conversation with the dying get to inspire the notre dame team to beat the army team and win one for the gipper the nineteen forty film can you drop me all american start pat obrien is can you drop me and ronald reagan as get. today in the team competes in notre dame stadium and eighty thousand seven hundred ninety five seat stadium on campus. the current head coaches brian kelly hired from the university of cincinnati on december eleventh two thousand nine. kellys record in midway through his sixth season at notre dame is fifty two to twenty one. in twenty twelve kellys fighting irish squad when undefeated and played in the p c s national championship game. kelli succeeded charlie weiss who was fired in november two thousand nine after five seasons. although weiss led his team to to bowl championship series ball games his overall record was there any five to twenty seven mediocre by notre dames standards and the two thousand seventeen had the most losses in school history. the football team generate enough revenue to operate independently while twenty two dollars one million is retained from the teams profits for academic use. for its named the team is the most valuable in college football worth a total of one hundred one million dollars in two thousand seven.,"Which person portrayed Knute Rockne in the 1940 movie ""Knute Rockne?""",pat obrien,496,506
george gap with the schools legendary football player during nineteen sixteen to twenty. he played semi professional baseball in smoke drink and gambled when not playing sports. he was also humble generous to the needy and a man of integrity. it was in nineteen twenty eight that fame coach can you brought me used his final conversation with the dying get to inspire the notre dame team to beat the army team and win one for the gipper the nineteen forty film can you drop me all american start pat obrien is can you drop me and ronald reagan as get. today in the team competes in notre dame stadium and eighty thousand seven hundred ninety five seat stadium on campus. the current head coaches brian kelly hired from the university of cincinnati on december eleventh two thousand nine. kellys record in midway through his sixth season at notre dame is fifty two to twenty one. in twenty twelve kellys fighting irish squad when undefeated and played in the p c s national championship game. kelli succeeded charlie weiss who was fired in november two thousand nine after five seasons. although weiss led his team to to bowl championship series ball games his overall record was there any five to twenty seven mediocre by notre dames standards and the two thousand seventeen had the most losses in school history. the football team generate enough revenue to operate independently while twenty two dollars one million is retained from the teams profits for academic use. for its named the team is the most valuable in college football worth a total of one hundred one million dollars in two thousand seven.,"Ronald Reagan played the role of whom in 1940's ""Knute Rockne?""",gipp,430,434
football game day traditions during home games activities occur all around campus in different dorms decorate their halls with the traditional item the g. damn houses two story banner. traditional activities began at the stroke of midnight with the drummer circle. this tradition involves the drama line of the band of the fighting irish and ushers in the rest of the festivities that will continue the rest of the game day saturday. later that day the trumpet section will play the notre dame victory march in the notre dame alma mater under the dome. the band entire will play a concert at the steps of bond hall from where they will march into notre dame stadium leading fans in students alike across campus to the game.,From where does the Band of the Fighting Irish lead a march to the Notre Dame Stadium for football home games?,the steps of bond hall,592,614
football game day traditions during home games activities occur all around campus in different dorms decorate their halls with the traditional item the g. damn houses two story banner. traditional activities began at the stroke of midnight with the drummer circle. this tradition involves the drama line of the band of the fighting irish and ushers in the rest of the festivities that will continue the rest of the game day saturday. later that day the trumpet section will play the notre dame victory march in the notre dame alma mater under the dome. the band entire will play a concert at the steps of bond hall from where they will march into notre dame stadium leading fans in students alike across campus to the game.,On what day do Notre Dame home football games occur?,saturday,424,432
the notre dame victory march is the fight song for the university of notre dame. it was written by two brothers who were notre dame gradually. the rent. michael j. shay and nineteen oh four graduate wrote the music and his brother john f. shea who were in degrees in nineteen no sex in nineteen l a wrote the original lyrics. the lyrics were revised in the nineteen twenties it first appeared on to the copyright at the university of notre dame in nineteen twenty eight. the choruses cheer cheer for old notre dame wake up the echoes cheering her name. send a volley cheer on high shake down the thunder from the sky without the odds be greater small old notre dame will win over all. while her loyal sons are marching onward to victory.,"To where are the loyal sons in ""Notre Dame Fight Song"" marching?",onward to victory,719,736
in the film can you drop me all americans can you brought me played by pat obrien delivers the famous win one for the gipper speech at which point the background music swells with the notre dame victory march. george gipp was played by ronald reagan whose nickname they get there was derived from this role. this scene was parodied in the movie airplane with the same background music only this time honoring george said one of ten strikers former comrades. the song also was prominent in the movie rudy with john aston as daniel rudy ruediger harbor dreams of playing football at the university of notre dame despite significant obstacles.,"Ronald Reagan had a nickname, what was it?",the gipper,114,124
in the film can you drop me all americans can you brought me played by pat obrien delivers the famous win one for the gipper speech at which point the background music swells with the notre dame victory march. george gipp was played by ronald reagan whose nickname they get there was derived from this role. this scene was parodied in the movie airplane with the same background music only this time honoring george said one of ten strikers former comrades. the song also was prominent in the movie rudy with john aston as daniel rudy ruediger harbor dreams of playing football at the university of notre dame despite significant obstacles.,"In what film did a parody of the ""Win one for the Gipper"" speech appear?",airplane,345,353
notre dame alumni work in various fields. alumni working in political fields include state governors members of the united states congress and former united states secretary of state kind elisa rice. the notable alumnus of the college of sciences medicine nobel prize winner here a calf. we shells. the number of university heads our alumni including notre dames current president the rat. john jenkins. additionally many alumni are in the media including talk show hosts regis philbin and phil donahue and television and radio personality such as my golly can hannah storm. with the university having high profile sports teams itself and number of alumni went on to become involved in athletics outside the university including professional baseball basketball football and ice hockey players such as joe thighs when joe montana tim brown ross browner racket ismail ruth riley jeffs dan rutz ia jerome bettis bradley de olympic gold medalist mariel securities professional boxer mike lee former football coaches such as charlie wifes frank leahy and can you drop me and basketball hall of famer soft in car and adrian gently. other notable alumni include prominent businessman edward j. debartolo junior. and astronaut jim wetherbee.,Mariel Zagunis is notable for winning what?,olympic gold,921,933
notre dame alumni work in various fields. alumni working in political fields include state governors members of the united states congress and former united states secretary of state kind elisa rice. the notable alumnus of the college of sciences medicine nobel prize winner here a calf. we shells. the number of university heads our alumni including notre dames current president the rat. john jenkins. additionally many alumni are in the media including talk show hosts regis philbin and phil donahue and television and radio personality such as my golly can hannah storm. with the university having high profile sports teams itself and number of alumni went on to become involved in athletics outside the university including professional baseball basketball football and ice hockey players such as joe thighs when joe montana tim brown ross browner racket ismail ruth riley jeffs dan rutz ia jerome bettis bradley de olympic gold medalist mariel securities professional boxer mike lee former football coaches such as charlie wifes frank leahy and can you drop me and basketball hall of famer soft in car and adrian gently. other notable alumni include prominent businessman edward j. debartolo junior. and astronaut jim wetherbee.,Which notable astronaut is known to have attended Notre Dame?,jim wetherbee,1220,1233
the young sages l knowles carter i j and as c b yon say born september fourth nineteen eighty wine is an american singer songwriter record producer an actress. born and raised in houston texas she performed in various singing and dancing competitions as a child and rose to fame in the late nineteen nineties as lead singer of r and d girl group destinies child. managed by her father matthew knowles the group became one of the worlds best selling girl groups of all time. theyre hiatus sought the release of fiance stayed you album dangerously in love ten thousand three which established her as a solo artist worldwide earned five grammy awards in feature the billboards hot one hundred number one singles crazy in love and baby boy.,What areas did Beyonce compete in when she was growing up?,singing and dancing,218,237
the young sages l knowles carter i j and as c b yon say born september fourth nineteen eighty wine is an american singer songwriter record producer an actress. born and raised in houston texas she performed in various singing and dancing competitions as a child and rose to fame in the late nineteen nineties as lead singer of r and d girl group destinies child. managed by her father matthew knowles the group became one of the worlds best selling girl groups of all time. theyre hiatus sought the release of fiance stayed you album dangerously in love ten thousand three which established her as a solo artist worldwide earned five grammy awards in feature the billboards hot one hundred number one singles crazy in love and baby boy.,In what city and state did Beyonce  grow up? ,houston texas,179,192
the young sages l knowles carter i j and as c b yon say born september fourth nineteen eighty wine is an american singer songwriter record producer an actress. born and raised in houston texas she performed in various singing and dancing competitions as a child and rose to fame in the late nineteen nineties as lead singer of r and d girl group destinies child. managed by her father matthew knowles the group became one of the worlds best selling girl groups of all time. theyre hiatus sought the release of fiance stayed you album dangerously in love ten thousand three which established her as a solo artist worldwide earned five grammy awards in feature the billboards hot one hundred number one singles crazy in love and baby boy.,What album made her a worldwide known artist?,dangerously in love,534,553
the young sages l knowles carter i j and as c b yon say born september fourth nineteen eighty wine is an american singer songwriter record producer an actress. born and raised in houston texas she performed in various singing and dancing competitions as a child and rose to fame in the late nineteen nineties as lead singer of r and d girl group destinies child. managed by her father matthew knowles the group became one of the worlds best selling girl groups of all time. theyre hiatus sought the release of fiance stayed you album dangerously in love ten thousand three which established her as a solo artist worldwide earned five grammy awards in feature the billboards hot one hundred number one singles crazy in love and baby boy.,In what city did Beyonce grow up?,houston,179,186
the young sages l knowles carter i j and as c b yon say born september fourth nineteen eighty wine is an american singer songwriter record producer an actress. born and raised in houston texas she performed in various singing and dancing competitions as a child and rose to fame in the late nineteen nineties as lead singer of r and d girl group destinies child. managed by her father matthew knowles the group became one of the worlds best selling girl groups of all time. theyre hiatus sought the release of fiance stayed you album dangerously in love ten thousand three which established her as a solo artist worldwide earned five grammy awards in feature the billboards hot one hundred number one singles crazy in love and baby boy.,What was the name of Beyonce's first solo album?,dangerously in love,534,553
